cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,23,219.145,925,0.000475692988185146,6.376
2,24,234.626,51971,0.029590752856911737,12.479
3,25,309.373,228,0.00011587207878847229,0.374
4,26,344.47,38,1.836051002357802e-05,0.134
all,all,234.756,53162,0.030200678433908633,13.573
