cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,27,219.172,2463,0.0013012879861735518,7.814
2,28,234.624,50851,0.029104040238042344,12.701
3,29,292.393,114,5.846288616538458e-05,0.26
4,30,320.14,38,1.8525902478205048e-05,0.149
5,31,330.91,38,1.8692285205032503e-05,0.133
all,all,234.165,53504,0.03050100929806441,13.74
