cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,32,219.149,1564,0.0008170780045821599,5.854
2,33,234.726,52054,0.029682297202928868,12.527
3,34,321.388,304,0.00015239620530016227,0.323
all,all,234.763,53922,0.030651771412810804,13.085
