cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,39,219.106,995,0.0005196798026222455,5.868
2,40,234.89,53459,0.030561961936435685,12.81
3,41,339.89,76,3.7670115206726114e-05,0.143
4,42,345.15,38,1.9316560541417383e-05,0.128
all,all,234.825,54568,0.031138628414806156,13.764
