cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,7,219.009,2370,0.001217981487420209,7.426
2,8,233.131,50450,0.028818638212496635,11.851
3,9,359.682,190,0.0001020254794922879,0.345
4,10,306.275,152,8.334937646470519e-05,0.269
5,11,324.15,76,3.772382125003906e-05,0.155
6,12,337.77,38,1.8792591401373944e-05,0.129
all,all,233.367,53276,0.030278510968525307,13.205
