cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,15,219.125,1292,0.0006779167609297535,6.421
2,16,234.425,53010,0.030086956139725632,13.037
3,17,334.965,76,3.728559206497581e-05,0.199
all,all,234.202,54378,0.03080215849272041,13.452
