cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,13,219.171,1366,0.0007095402511161619,8.686
2,14,234.678,52556,0.029893554646748487,13.182
all,all,234.286,53922,0.03060309489786483,13.186
