cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,18,219.145,2064,0.0010665538845974101,7.556
2,19,232.352,50262,0.02872167425449972,10.867
3,20,289.548,1672,0.0009387286481258425,1.115
4,21,309.38,266,0.00014042109807133545,0.243
5,22,325.36,114,5.7744550470002095e-05,0.17
all,all,234.181,54378,0.030925122435764004,12.993
