Timesteps,TotalParticles,noIce,Ice,NewIce,TotalIcePercentage,Temp,IceVolume,TotalNonIce,newIcePercentage
0.06,424,419,5,5,1.18,601.78,2.697247279553876e-15,424,1.18
0.07,849,695,154,149,18.14,456.71,9.452638269150322e-14,844,17.65
0.08,1274,715,559,405,43.88,385.37,3.4509082539614875e-13,1120,36.16
0.09,1701,961,740,403,43.5,348.25,6.047881255859209e-13,1142,35.29
0.1,2125,1384,741,424,34.87,323.24,8.788189126181662e-13,1385,30.61
0.11,2217,1465,752,413,33.92,318.09,9.273318102257912e-13,1476,27.98
0.12,2211,1481,730,442,33.02,317.22,9.331270779909389e-13,1459,30.29
0.13,2210,1483,727,427,32.9,318.84,9.323617248046148e-13,1480,28.85
0.14,2202,1441,761,391,34.56,319.95,9.090918608838728e-13,1475,26.51
0.15,2207,1452,755,436,34.21,320.23,9.173769736131729e-13,1446,30.15
0.16,2201,1463,738,444,33.53,318.31,9.245584994355803e-13,1446,30.71
0.17,2206,1460,746,427,33.82,319.69,9.24286926822431e-13,1468,29.09
0.18,2231,1482,749,424,33.57,318.65,9.33921954472019e-13,1485,28.55
0.19,2229,1499,730,446,32.75,318.17,9.380254614442435e-13,1480,30.14
0.2,2218,1456,762,390,34.36,318.81,9.088200500321533e-13,1488,26.21
